Training model 1/3
Epoch:4/80 Batch:72/106 Train Loss:1.7126
Epoch:4/80 Batch:73/106 Train Loss:1.6884
Epoch:4/80 Batch:74/106 Train Loss:1.6416
Epoch:4/80 Batch:75/106 Train Loss:1.6429
Epoch:4/80 Batch:76/106 Train Loss:1.8357
Epoch:4/80 Batch:77/106 Train Loss:1.5919
Epoch:4/80 Batch:78/106 Train Loss:1.6710
Epoch:4/80 Batch:79/106 Train Loss:1.7393
Epoch:4/80 Batch:80/106 Train Loss:1.5880
Epoch:4/80 Batch:81/106 Train Loss:1.6568
Epoch:4/80 Batch:82/106 Train Loss:1.5874
Epoch:4/80 Batch:83/106 Train Loss:1.6032
Epoch:4/80 Batch:84/106 Train Loss:1.6859
Epoch:4/80 Batch:85/106 Train Loss:1.6916
Epoch:4/80 Batch:86/106 Train Loss:1.6006
Epoch:4/80 Batch:87/106 Train Loss:1.5051
Epoch:4/80 Batch:88/106 Train Loss:1.6664
Epoch:4/80 Batch:89/106 Train Loss:1.5164
Epoch:4/80 Batch:90/106 Train Loss:1.6146
Epoch:4/80 Batch:91/106 Train Loss:1.6857
Epoch:4/80 Batch:92/106 Train Loss:1.8189
Epoch:4/80 Batch:93/106 Train Loss:1.5763
Epoch:4/80 Batch:94/106 Train Loss:1.7242
Epoch:4/80 Batch:95/106 Train Loss:1.8084
Epoch:4/80 Batch:96/106 Train Loss:1.5170
Epoch:4/80 Batch:97/106 Train Loss:1.6131
Epoch:4/80 Batch:98/106 Train Loss:1.6155
Epoch:4/80 Batch:99/106 Train Loss:1.6140
Epoch:4/80 Batch:100/106 Train Loss:1.5615
Epoch:4/80 Batch:101/106 Train Loss:1.6262
Epoch:4/80 Batch:102/106 Train Loss:1.7663
Epoch:4/80 Batch:103/106 Train Loss:1.6889
Epoch:4/80 Batch:104/106 Train Loss:1.7335
Epoch:4/80 Batch:105/106 Train Loss:1.6911
Epoch:4/80 Batch:106/106 Train Loss:2.5726
Epoch:5/80 Batch:1/106 Train Loss:1.7117
Epoch:5/80 Batch:2/106 Train Loss:1.8543
Epoch:5/80 Batch:3/106 Train Loss:1.7838
Epoch:5/80 Batch:4/106 Train Loss:1.7374
Epoch:5/80 Batch:5/106 Train Loss:1.6481
Epoch:5/80 Batch:6/106 Train Loss:1.6260
Epoch:5/80 Batch:7/106 Train Loss:1.6320
Epoch:5/80 Batch:8/106 Train Loss:1.6759
Epoch:5/80 Batch:9/106 Train Loss:1.7883
Epoch:5/80 Batch:10/106 Train Loss:1.5285
Epoch:5/80 Batch:11/106 Train Loss:1.4219
Epoch:5/80 Batch:12/106 Train Loss:1.4019
Epoch:5/80 Batch:13/106 Train Loss:1.7017
Epoch:5/80 Batch:14/106 Train Loss:1.4349
Epoch:5/80 Batch:15/106 Train Loss:1.6544
Epoch:5/80 Batch:16/106 Train Loss:1.7923
Epoch:5/80 Batch:17/106 Train Loss:1.5471
Epoch:5/80 Batch:18/106 Train Loss:1.6384
Epoch:5/80 Batch:19/106 Train Loss:1.7078
Epoch:5/80 Batch:20/106 Train Loss:1.5262
Epoch:5/80 Batch:21/106 Train Loss:1.7257
Epoch:5/80 Batch:22/106 Train Loss:1.6187
